0.909713 (0.064434) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
0.944374 (0.007007) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.925619 (0.033052) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.944618 (0.014412) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.945149 (0.008272) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.951398 (0.013083) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.944836 (0.009345) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.943714 (0.012662) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.938001 (0.022112) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
0.920175 (0.038239) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.945955 (0.011074) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.943309 (0.006012) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.947009 (0.005646) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.943756 (0.005554) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.948907 (0.009959) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.942219 (0.005225) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.940913 (0.005761) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.938614 (0.008090) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.940551 (0.006861) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.937848 (0.009258) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.939787 (0.003422) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.931868 (0.018435) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.942202 (0.008100) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.942784 (0.005517) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.939822 (0.007728) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.936890 (0.008912) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
0.935667 (0.013098) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.938061 (0.008326) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.918780 (0.038166) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.941117 (0.007063) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.942545 (0.008570) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.941131 (0.008339) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.938714 (0.009488) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
0.938390 (0.007904) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.940445 (0.007752) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.939479 (0.006547) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
